15
15
15
12,12
13,8
3,2
7,11
9,1
14,8
11,3
14,11
2,13
3,12
1,6
13,7
9,10
3,13
13,4
0,6
13,9
6,3
3,6
3,4
12,11
10,5
8,8
10,4
10,12
2,8
11,0
2,1
10,11
11,4
2,1
4,11
10,12
7,1
1,8
5,1
3,3
3,8
7,11
1,11
5,7
14,7
9,13
7,0
13,1
7,8
12,11
7,10
2,6
10,9
8,12
9,10
5,3
10,14
9,12
14,1
5,1
14,10
0,2
6,1
10,8
11,7
8,12
6,2
4,7
11,12
2,11
14,7
1,9
9,14
6,7
14,5
13,2
3,0
3,2
14,2
1,1
3,12
8,5
10,11
12,0
9,4
11,7
13,6
10,13
2,14
5,14
7,11
8,2
7,2
1,11
4,8
6,5
11,4
5,3
11,4
14,14
1,8
11,9
10,11
11,14
5,7
0,3
14,14
2,10
1,8
13,2
11,11
4,10
3,5
12,12
13,3
4,12
0,13
6,11
6,6
7,10
14,1
13,4
1,13
0,5
9,2
9,6
3,10
8,9
9,1
6,1
0,12
12,6
0,5
11,13
0,7
12,9
11,3
6,4
9,4
6,10
6,9
1,14
6,10
13,7
3,14
0,10
9,11
9,7
14,10
12,13
1,4
9,9
12,0
9,6
13,1
2,6
7,8
10,11
13,10
11,12
6,6
0,4
12,9
13,5
7,0
11,9
10,10
5,1
12,13
3,3
11,14
4,2
8,6
11,4
8,5
7,7
4,4
2,11
13,9
1,12
5,5
4,14
11,5
